NUM@ARIST@SONG@YEAR@DECADE
20.0@@Peaches & Cream@2001.0@2000.0
33.0@@Bartender@2007.0@2000.0
25.0@@Mesmerize@2003.0@2000.0
24.0@@Can't let you Go@2003.0@2000.0
2.0@@Poker Face@2009.0@2000.0
84.0@@The Boss@2008.0@2000.0
71.0@@Don't Wanna Try@2003.0@2000.0
58.0@@Take A Picture@2000.0@2000.0
61.0@@Ivory Tower@1956.0@1950.0
38.0@@It's My Life@2004.0@1950.0
22.0@@Lonely No More@2005.0@2000.0
12.0@@Put Your Head On My Shoulder@1959.0@1950.0
57.0@@Black Horse & the Cherry Tree@2006.0@2000.0
59.0@@Miss Independent@2009.0@2000.0
10.0@@Hernando's Hideaway@1954.0@1950.0
3.0@@Hot in Herre@2002.0@2000.0
81.0@@Where I Wanna Be@2000.0@2000.0
64.0@@Enchanted@1959.0@1950.0
49.0@@Headstrong@2003.0@2000.0
51.0@@Gotta Be Somebody@2009.0@2000.0
6.0@@Half As Much@1952.0@1950.0
90.0@@Flashing Lights@2008.0@2000.0
89.0@@Sea Cruise@1959.0@2000.0
88.0@@Forever@2009.0@2000.0
4.0@@Venus@1959.0@1950.0
35.0@@Money Maker@2006.0@2000.0
39.0@@Pieces of Me@2004.0@2000.0
75.0@@Big Things Poppin' (Do It)@2007.0@2000.0
52.0@@Most Girls@2000.0@2000.0
91.0@@Mrs. Officer@2008.0@2000.0
44.0@@Kryptonite@2001.0@2000.0
85.0@@Break It Off@2007.0@2000.0
3.0@@Hey There@1954.0@2000.0
34.0@@Frontin'@2003.0@2000.0
36.0@@Scars@2005.0@2000.0
27.0@@Breakaway@2005.0@2000.0
88.0@@It's A Great Day To Be Alive@2001.0@2000.0
63.0@@Superstar@2008.0@2000.0
80.0@@These Words@2005.0@2000.0
18.0@@Twilight Time@1958.0@1950.0
53.0@@Pimpin' All Over the World@2005.0@2000.0
29.0@@Dangerous@2008.0@2000.0
56.0@@Are you Happy Now?@2003.0@2000.0
92.0@@Don't Tell Me@2004.0@2000.0
28.0@@Lose Yourself@2003.0@2000.0
96.0@@I Don't Wanna@2000.0@2000.0
76.0@@Tall Paul@1959.0@1950.0
77.0@@Get Back@2005.0@2000.0
1.0@@Heartbreak Hotel@1956.0@2000.0
71.0@@Deck Of Cards@1959.0@2000.0
16.0@@That's Amore@1954.0@1950.0
37.0@@Born To Be With You@1956.0@1950.0
69.0@@White Silver Sands@1957.0@1950.0
4.0@@You Belong To Me@1952.0@1950.0
19.0@@Fergalicious@2007.0@2000.0
79.0@@Rock and Roll Music@1957.0@2000.0
64.0@@Heard It All Before@2001.0@2000.0
58.0@@Why Baby Why@1957.0@1950.0
84.0@@Good Morning Beautiful@2002.0@1950.0
12.0@@Try Again@2000.0@2000.0
76.0@@Crush@2008.0@2000.0
1.0@@Volare (Nel Blu Dipinto Di Blu)@1958.0@1950.0
74.0@@Gimme the Light@2002.0@2000.0
81.0@@Live Like You Were Dying@2004.0@2000.0
27.0@@Rags To Riches@1954.0@1950.0
79.0@@Turn My Swag On@2009.0@2000.0
57.0@@Because Of You@2007.0@2000.0
75.0@@Swear It Again@2000.0@2000.0
22.0@@Best I Ever Had@2009.0@2000.0
10.0@@Forever@2008.0@2000.0
6.0@@If You're Gone@2001.0@2000.0
68.0@@Differences@2002.0@2000.0
34.0@@I'll Be Home@1956.0@1950.0
9.0@@Too Much@1957.0@2000.0
70.0@@If Today Was Your Last Day@2009.0@2000.0
10.0@@Independent Women Part I@2001.0@2000.0
88.0@@Soul Survivor@2006.0@2000.0
69.0@@Angel@2003.0@2000.0
21.0@@Searchin'@1957.0@2000.0
84.0@@C.C. Rider@1957.0@1950.0
35.0@@She Will be Loved@2004.0@2000.0
12.0@@Take A Bow@2008.0@2000.0
25.0@@A Teenager's Romance@1957.0@1950.0
33.0@@Fire Burning@2009.0@2000.0
8.0@@Come Softly To Me@1959.0@1950.0
76.0@@Juke Box Baby@1956.0@2000.0
12.0@@Baby Boy@2003.0@2000.0
98.0@@Battle Hymn Of The Republic@1959.0@1950.0
7.0@@Right Thurr@2003.0@2000.0
51.0@@Meant to Live@2004.0@2000.0
12.0@@Ebb Tide@1953.0@1950.0
40.0@@You@2007.0@2000.0
92.0@@Stay Fly@2006.0@2000.0
21.0@@Oh@2005.0@2000.0
4.0@@Witch Doctor@1958.0@1950.0
56.0@@Love Me@1957.0@1950.0
21.0@@All My Love@1950.0@2000.0
92.0@@Back Then@2005.0@2000.0
45.0@@April Love@1958.0@1950.0
23.0@@Drop it Like It's Hot@2005.0@2000.0
53.0@@The Way I Live@2007.0@2000.0
50.0@@Peggy Sue@1958.0@1950.0
25.0@@Hero@2002.0@2000.0
50.0@@Blue Monday@1957.0@2000.0
87.0@@Ordinary People@2005.0@2000.0
20.0@@At The Hop@1958.0@1950.0
2.0@@Mona Lisa@1950.0@1950.0
5.0@@So Rare@1957.0@1950.0
90.0@@American Soldier@2004.0@2000.0
86.0@@True Love@1956.0@1950.0
85.0@@Dude@2004.0@2000.0
4.0@@Autumn Leaves@1955.0@1950.0
29.0@@Standing On The Corner@1956.0@2000.0
14.0@@It's Been Awhile@2001.0@2000.0
98.0@@Loving You@1957.0@1950.0
39.0@@So Gone@2003.0@2000.0
45.0@@Collide@2005.0@2000.0
48.0@@Your Body is a Wonderland@2003.0@2000.0
65.0@@Chain Hang Low@2006.0@2000.0
60.0@@La Tortura@2005.0@1950.0
16.0@@Hot Diggity@1956.0@1950.0
85.0@@Two Different Worlds@1956.0@1950.0
2.0@@Because Of You@1951.0@1950.0
33.0@@Dance, Dance@2006.0@2000.0
1.0@@Yeah!@2004.0@2000.0
52.0@@7 Days@2002.0@2000.0
95.0@@Hands Clean@2002.0@2000.0
95.0@@Breathless@1958.0@2000.0
44.0@@Yo (Excuse Me Miss)@2006.0@2000.0
70.0@@After the Lights Go Down Low@1956.0@2000.0
37.0@@Feel Good Inc@2005.0@2000.0
14.0@@Me & U@2006.0@2000.0
38.0@@Someone To Call My Lover@2001.0@2000.0
40.0@@Whatever You Like@2009.0@2000.0
99.0@@Waiting For Tonight@2000.0@2000.0
20.0@@Sunshine@2004.0@2000.0
90.0@@Shut Up And Drive@2007.0@2000.0
3.0@@No One@2008.0@2000.0
24.0@@Get It On Tonite@2000.0@2000.0
58.0@@Lose My Breath@2004.0@2000.0
37.0@@Thnks Fr Th Mmrs@2007.0@2000.0
77.0@@Disturbia@2009.0@2000.0
93.0@@Dance With Me@2001.0@2000.0
24.0@@Hate It or Love It@2005.0@2000.0
67.0@@Why Do Fools Fall in Love@1956.0@1950.0
41.0@@Blueberry Hill@1956.0@1950.0
21.0@@If You Love Me (Really Love Me)@1954.0@1950.0
2.0@@Mack The Knife@1959.0@2000.0
5.0@@Be My Love@1951.0@1950.0
39.0@@No More@2000.0@2000.0
18.0@@It's Goin' Down@2006.0@2000.0
78.0@@Big Girls Don't Cry@2008.0@2000.0
