ARTIST@DECADE@NUM@SONG@YEAR
Ray Charles@1960@2.0@I Can't Stop Loving You@1962.0
Dee Dee Sharp@1960@3.0@Mashed Potato Time@1962.0
Bobby Vinton@1960@4.0@Roses Are Red@1962.0
David Rose@1960@5.0@The Stripper@1962.0
Shelley Fabares@1960@6.0@Johnny Angel@1962.0
Little Eva@1990@7.0@The Loco-Motion@1962.0
Chubby Checker@@9.0@The Twist@1962.0
Shirelles@1960@10.0@Soldier Boy@1962.0
Bruce Channel@1960@11.0@Hey! Baby@1962.0
Dion@1960@12.0@The Wanderer@1962.0
Gene Chandler@1960@13.0@Duke Of Earl@1962.0
Freddy Cannon@1960@14.0@Palisades Park@1962.0
Neil Sedaka@1960@15.0@Breaking Up Is Hard To Do@1962.0
Claude King@1960@16.0@Wolverton Mountain@1962.0
Chubby Checker@1990@17.0@Slow Twistin'@1962.0
Johnny Tillotson@1960@18.0@It Keeps Right On A-hurtin'@1962.0
Mary Wells@1990@19.0@The One Who Really Loves You@1962.0
Elvis Presley@1960@20.0@Good Luck Charm@1962.0
Tommy Roe@1960@22.0@Sheila@1962.0
Sam Cooke@1960@23.0@Twistin' The Night Away@1962.0
Brenda Lee@1960@26.0@Break It To Me Gently@1962.0
Marvelettes@1990@27.0@Playboy@1962.0
Nat King Cole@1960@28.0@Ramblin' Rose@1962.0
Brian Hyland@1960@29.0@Sealed With A Kiss@1962.0
Jay and The Americans@1960@30.0@She Cried@1962.0
Connie Francis@1960@31.0@Don't Break The Heart That Loves You@1962.0
Gary U.S. Bonds@1960@32.0@Dear Lady Twist@1962.0
Sue Thompson@1960@33.0@Norman@1962.0
Ketty Lester@1960@34.0@Love Letters@1962.0
Claudine Clark@1960@35.0@Party Lights@1962.0
Highwaymen@1960@36.0@Cotton Fields@1962.0
The Isley Brothers@1960@38.0@Twist And Shout@1962.0
Barbara George@1960@42.0@I Know@1962.0
Rick Nelson@1960@43.0@Young World@1962.0
Shirelles@1960@44.0@Baby It's You@1962.0
Pat Boone@1960@45.0@Speedy Gonzales@1962.0
Burl Ives@1960@46.0@A Little Bitty Tear@1962.0
Everly Brothers@1960@47.0@Crying In The Rain@1962.0
Sam Cooke@1960@52.0@Having A Party@1962.0
Ray Charles@1960@54.0@You Don't Know Me@1962.0
Four Seasons@1960@55.0@Sherry@1962.0
Joanie Sommers@1990@56.0@Johnny Get Angry@1962.0
Elvis Presley@1960@57.0@Can't Help Falling In Love@1962.0
Henry Mancini@1960@60.0@Moon River@1962.0
Ray Stevens@1990@61.0@Ahab The Arab@1962.0
Bobby Darin@1960@62.0@Things@1962.0
Gene Pitney@1960@63.0@The Man Who Shot Liberty Valance@1962.0
Duprees@1960@64.0@You Belong To Me@1962.0
Roy Orbison@1960@65.0@Dream Baby@1962.0
Joe Henderson@1960@66.0@Snap Your Fingers@1962.0
Dion@1960@67.0@Lovers Who Wander@1962.0
Chris Montez@1960@68.0@Let's Dance@1962.0
Mary Wells@1960@70.0@You Beat Me To The Punch@1962.0
Barbara Lynn@1960@71.0@You'll Lose A Good Thing@1962.0
Brenda Lee@1960@73.0@Everybody Loves Me But You@1962.0
Jimmy Clanton@1960@75.0@Venus In Blue Jeans@1962.0
Paul Anka@1960@76.0@Love Me Warm And Tender@1962.0
Patsy Cline@1960@78.0@She's Got You@1962.0
James Darren@1960@80.0@Her Royal Majesty@1962.0
Walter Brennan@1960@81.0@Old Rivers@1962.0
Burl Ives@1960@82.0@Funny Way Of Laughin'@1962.0
Jimmy Dean@1960@85.0@P.T. 109@1962.0
Gary U.S. Bonds@1960@88.0@Twist, Twist Senora@1962.0
Dee Dee Sharp@1960@90.0@Gravy@1962.0
Bobby Rydell@1960@93.0@I'll Never Dance Again@1962.0
Kingston Trio@1960@95.0@Where Have All The Flowers Gone@1962.0
Gene Pitney@1960@97.0@Town Without Pity@1962.0
Peter, Paul and Mary@1960@98.0@If I Had A Hammer@1962.0
Beach Boys@1960@100.0@Surfin' Safari@1962.0
Sam The Sham and The Pharaohs@1960@1.0@Wooly Bully@1965.0
Four Tops@1990@2.0@I Can't Help Myself (Sugar Pie Honey Bunch)@1965.0
Rolling Stones@1960@3.0@(I Can't Get No) Satisfaction@1965.0
We Five@1960@4.0@You Were On My Mind@1965.0
Righteous Brothers@1990@5.0@You've Lost That Lovin' Feelin'@1965.0
Petula Clark@1960@6.0@Downtown@1965.0
Beatles@1990@7.0@Help!@1965.0
Herman's Hermits@1960@8.0@Can't You Hear My Heartbeat@1965.0
Elvis Presley@1960@9.0@Crying In The Chapel@1965.0
Temptations@1960@10.0@My Girl@1965.0
Beach Boys@1960@11.0@Help Me, Rhonda@1965.0
Roger Miller@1960@12.0@King Of The Road@1965.0
Mel Carter@1960@14.0@Hold Me, Thrill Me, Kiss Me@1965.0
Jr. Walker and The All Stars@1960@15.0@Shotgun@1965.0
Sonny and Cher@1960@16.0@I Got You Babe@1965.0
Gary Lewis and The Playboys@1960@17.0@This Diamond Ring@1965.0
Herman's Hermits@1960@19.0@Mrs. Brown You've Got A Lovely Daughter@1965.0
Supremes@1960@20.0@Stop! In The Name Of Love@1965.0
Righteous Brothers@1960@21.0@Unchained Melody@1965.0
Herman's Hermits@1960@22.0@Silhouettes@1965.0
Seekers@1960@23.0@I'll Never Find Another You@1965.0
Byrds@1960@25.0@Mr. Tambourine Man@1965.0
Sounds Orchestral@1960@26.0@Cast Your Fate To The Wind@1965.0
Barbara Mason@1960@27.0@Yes, I'm Ready@1965.0
Tom Jones@1960@28.0@What's New Pussycat?@1965.0
Barry McGuire@1990@29.0@Eve Of Destruction@1965.0
Beatles@1960@31.0@Ticket To Ride@1965.0
Shirley Ellis@1960@35.0@The Name Game@1965.0
Petula Clark@1990@36.0@I Know A Place@1965.0
Supremes@1990@37.0@Back In My Arms Again@1965.0
Barbara Lewis@1960@38.0@Baby I'm Yours@1965.0
Bob Dylan@1990@41.0@Like A Rolling Stone@1965.0
Freddie and The Dreamers@1960@42.0@I'm Telling You Now@1965.0
Gerry and The Pacemakers@1960@43.0@Ferry Cross The Mersey@1965.0
Righteous Brothers@1990@44.0@Just Once In My Life@1965.0
Johnny Rivers@1960@45.0@Seventh Son@1965.0
Herman's Hermits@1960@46.0@I'm Henry VIII, I Am@1965.0
Yardbirds@1960@48.0@For Your Love@1965.0
Beach Boys@1960@49.0@California Girls@1965.0
Moody Blues@1960@50.0@Go Now@1965.0
Shirley Bassey@1960@51.0@Goldfinger@1965.0
Billy Joe Royal@1960@52.0@Down In The Boondocks@1965.0
Glenn Yarbrough@1960@53.0@Baby The Rain Must Fall@1965.0
Dave Clark Five@1960@54.0@Catch Us If You Can@1965.0
Beatles@1990@55.0@Eight Days A Week@1965.0
Beau Brummels@1960@56.0@Just A Little@1965.0
Marvin Gaye@1960@58.0@I'll Be Doggone@1965.0
Gary Lewis and The Playboys@1960@59.0@Save Your Heart For Me@1965.0
Kinks@1960@60.0@Tired Of Waiting For You@1965.0
Gary Lewis and The Playboys@1960@61.0@Count Me In@1965.0
Kinks@1960@62.0@All Day And All Of The Night@1965.0
Jackie DeShannon@1960@63.0@What The World Needs Now Is Love@1965.0
Tom Jones@1960@64.0@It's Not Unusual@1965.0
Sir Douglas Quintet@1960@65.0@She's About A Mover@1965.0
Sam Cooke@1990@66.0@Shake@1965.0
Herman's Hermits@@67.0@Wonderful World@1965.0
Martha and The Vandellas@1960@68.0@Nowhere To Run@1965.0
Yardbirds@1960@69.0@Heart Full Of Soul@1965.0
Searchers@1960@70.0@Love Potion Number Nine@1965.0
Sonny and Cher@1960@72.0@Baby Don't Go@1965.0
Turtles@1960@73.0@It Ain't Me Babe@1965.0
Zombies@1960@74.0@Tell Her No@1965.0
Peter and Gordon@1990@75.0@I Go To Pieces@1965.0
Vic Dana@1960@76.0@Red Roses For A Blue Lady@1965.0
Patty Duke@1960@77.0@Don't Just Stand There@1965.0
Brenda Lee@1960@79.0@Too Many Rivers@1965.0
Dave Clark Five@1960@80.0@I Like It Like That@1965.0
Bobby Goldsboro@1990@81.0@Little Things@1965.0
Peter and Gordon@1960@82.0@True Love Ways@1965.0
Joe Tex@1990@85.0@Hold What You've Got@1965.0
Animals@1990@86.0@We Gotta Get Out Of This Place@1965.0
Beau Brummels@1960@87.0@Laugh, Laugh@1965.0
Rolling Stones@1960@88.0@The Last Time@1965.0
Lovin' Spoonful@1990@89.0@Do You Believe In Magic@1965.0
Cher@1960@90.0@All I Really Want To Do@1965.0
Little Anthony and The Imperials@1960@91.0@Take Me Back@1965.0
Strangeloves@1960@92.0@I Want Candy@1965.0
Jack Jones@1960@96.0@The Race Is On@1965.0
Del Shannon@1960@99.0@Keep Searchin'@1965.0
Marvin Gaye@1960@100.0@How Sweet It Is (To Be Loved By You)@1965.0
Whitney Houston@1960@1.0@I Will Always Love You@1993.0
Tag Team@1990@2.0@Whoomp! (There It Is)@1993.0
UB40@1960@3.0@Can't Help Falling In Love@1993.0
Janet Jackson@1990@4.0@That's The Way Love Goes@1993.0
Silk@1990@5.0@Freak Me@1993.0
SWV@1990@6.0@Weak@1993.0
Shai@1990@7.0@If I Ever Fall In Love@1993.0
Mariah Carey@1990@8.0@Dreamlover@1993.0
Wreckx-N-Effect@1990@9.0@Rump Shaker@1993.0
Snow@1990@10.0@Informer@1993.0
Dr. Dre@1990@11.0@Nuthin' But A "G" Thang@1993.0
Boyz II Men@1960@12.0@In The Still Of The Nite@1993.0
Jade@1990@13.0@Don't Walk Away@1993.0
H-Town@1990@14.0@Knockin' Da Boots@1993.0
Jodeci@1990@15.0@Lately@1993.0
Duice@1990@16.0@Dazzey Duks@1993.0
Robin S.@1990@17.0@Show Me Love@1993.0
Peabo Bryson and Regina Belle@1990@18.0@A Whole New World@1993.0
Janet Jackson@1990@19.0@If@1993.0
SWV@1960@20.0@I'm So Into You@1993.0
Soul Asylum@1990@22.0@Runaway Train@1993.0
Paperboy@1990@24.0@Ditty@1993.0
Snap@1990@25.0@Rhythm Is A Dancer@1993.0
Billy Joel@1990@26.0@The River Of Dreams@1993.0
Proclaimers@1960@27.0@I'm Gonna Be (500 Miles)@1993.0
Spin Doctors@1990@28.0@Two Princes@1993.0
SWV@1990@29.0@Right Here (Human Nature)-Downtown@1993.0
Whitney Houston@1990@30.0@I Have Nothing@1993.0
Arrested Development@1990@31.0@Mr. Wendal@1993.0
Rod Stewart@1960@32.0@Have I Told You Lately@1993.0
Shanice@1990@33.0@Saving Forever For You@1993.0
Duran Duran@1990@34.0@Ordinary World@1993.0
Meat Loaf@1990@36.0@I'd Do Anything For Love (But I Won't Do That)@1993.0
Onyx@1990@37.0@Slam@1993.0
P.M. Dawn@1990@38.0@Looking Through Patient Eyes@1993.0
Whitney Houston@1990@39.0@I'm Every Woman@1993.0
Shai@1960@40.0@Baby I'm Yours@1993.0
Duran Duran@1990@41.0@Come Undone@1993.0
Tina Turner@1990@42.0@I Don't Wanna Fight@1993.0
P.M. Dawn@1990@43.0@I'd Die Without You@1993.0
95 South@1990@44.0@Whoot, There It Is@1993.0
Naughty By Nature@1990@45.0@Hip Hop Hooray@1993.0
Toni Braxton@1990@46.0@Another Sad Love Song@1993.0
Michael Jackson@1990@47.0@Will You Be There@1993.0
Bobby Brown@1990@49.0@Good Enough@1993.0
4 Non Blondes@1960@50.0@What's Up@1993.0
Ace Of Base@1990@51.0@All That She Wants@1993.0
Dr. Dre@1990@53.0@Dre Day@1993.0
Brian McKnight@1990@54.0@One Last Cry@1993.0
Xscape@1990@55.0@Just Kickin' It@1993.0
2Pac@1990@56.0@I Get Around@1993.0
Bon Jovi@1990@57.0@Bed Of Roses@1993.0
Mary J. Blige@1990@58.0@Real Love@1993.0
Aerosmith@1990@60.0@Cryin'@1993.0
Ugly Kid Joe@1990@61.0@Cats In The Cradle@1993.0
TLC@1990@62.0@What About Your Friends@1993.0
Positive K@1990@63.0@I Got A Man@1993.0
Cypress Hill@1990@65.0@Insane In The Brain@1993.0
Madonna@1990@66.0@Deeper And Deeper@1993.0
Madonna@1990@67.0@Rain@1993.0
Jeremy Jordan@1990@68.0@The Right Kind Of Love@1993.0
Inner Circle@1990@69.0@Bad Boys@1993.0
Boy Krazy@1990@70.0@That's What Love Can Do@1993.0
Jon Secada@1990@71.0@Do You Believe In Us@1993.0
Jon Secada@1990@72.0@Angel@1993.0
Kenny G@1960@73.0@Forever In Love@1993.0
Janet Jackson@1990@74.0@Again@1993.0
Restless Heart@1960@76.0@When She Cries@1993.0
Inner Circle@1990@77.0@Sweat (A La La La La Long)@1993.0
