1,Glenn Miller,Chattanooga Choo Choo
2,Sammy Kaye,Daddy
3,Artie Shaw,Stardust
4,The Andrews Sisters,Boogie Woogie Bugle Boy
5,Jimmy Dorsey,Amapola (Pretty Little Poppy)
6,Jimmy Dorsey,Green Eyes
7,Glenn Miller,Elmers Tune
8,Duke Ellington,Take The A Train
9,Billie Holiday,God Bless the Child
10,Jimmy Dorsey,Maria Elena
11,Horace Heidt,I Dont Want to Set the World On Fire
12,Freddy Martin,Piano Concerto in B Flat
13,The Ink Spots,I Dont Want to Set the World On Fire
14,Jimmy Dorsey,Blue Champagne
15,Glenn Miller,Song of the Volga Boatmen
16,Jimmy Dorsey,My Sister & I
17,Harry James,You Made Me Love You
18,Tommy Dorsey & Frank Sinatra,Dolores
19,Glenn Miller,You & I
20,Benny Goodman,Therell Be Some Changes Made
21,The Sons of the Pioneers,Cool Water
22,Xavier Cugat,Perfidia (Tonight)
23,Jimmy Dorsey,I Hear A Rhapsody
24,Guy Lombardo,And the Band Played On
25,Vera Lynn,A Nightingale Sang in Berkeley Square
26,Dick Robertson,Ferryboat Serenade
27,The Jesters,Its a Great Day for the Irish
28,The Tic-Toc Rhythm Orchestra,Ferryboat Serenade
29,Judy Garland,Its a Great Day for the Irish
30,Francisco Alves,Canta Brasil
31,George Formby,Bless em All (The Service Song)
32,Al Bowlly,When That Man is Dead & Gone
33,Ernest Tubb,Walking the Floor Over You
34,Glenn Miller,Anvil Chorus
35,Glenn Miller,I Dreamt I Dwelt In Harlem
36,The Andrews Sisters,Ill Be With You in Apple Blossom Time
37,Charlie Barnet,I Hear A Rhapsody
38,Bing Crosby,Dolores
39,Artie Shaw,Dancing in the Dark
40,Artie Shaw,Summit Ridge Drive
41,Wayne King,You Are My Sunshine
42,Tommy Dorsey & Frank Sinatra,This Love of Mine
43,Jimmy Dorsey,High On A Windy Hill
44,Joe Loss Orchestra,V Stands For Victory
45,Carlos Galhardo,Ala Li La
46,Tommy Dorsey,Yes Indeed
47,Big Maceo Merriweather,Worried Life Blues
48,Gene Krupa,High On A Windy Hill
49,Jimmy Dorsey,Yours
50,Wayne King,Maria Elena
51,Horace Heidt,Gbye Now
52,Freddy Martin,The Hut Sut Song (A Swedish Serenade)
53,Tommy Dorsey & Frank Sinatra,Oh Look At Me Now
54,Gene Krupa,It All Comes Back To Me Now
55,Bing Crosby,Shepherds Serenade
56,Tommy Dorsey,Lets Get Away From It All
57,Gene Krupa,Let me off uptown
58,Washboard Sam,She Belongs to The Devil
59,Dorival Caymmi,O Mar
60,Glenn Miller,Adios
61,Tommy Dorsey & Frank Sinatra,Two in Love
62,Jimmy Dorsey,Jim
63,Harry James,By the Sleepy Lagoon
64,Ray Noble,By the Light of the Silvery Moon
65,Horace Heidt,The Hut Sut Song (A Swedish Serenade)
66,Kay Kyser,Alexander the Swoose (Half Swan, Half Goose)
67,Xavier Cugat,Green Eyes
68,Xavier Cugat,Chica, Chica, Boom, Chic
69,Joel & Gaucho,Aurora
70,Jay McShann,Vine Street Blues
71,Glenn Miller,I Know Why
72,Tommy Dorsey,Do I Worry?
73,The Andrews Sisters,Bounce Me Brother
74,Harry James,You Made Me Love You (I Didnt Want to Do It)
75,Pedro Vargas,Besame Mucho
76,Kay Kyser,(Lights Out) Til Reveille
77,Tony Martin,The Last Time I Saw Paris
78,Tommy Tucker,I Dont Want to Set the World On Fire
79,Guy Lombardo,Intermezzo (Souvenir De Vienne)
80,Anjos do Inferno,Voce Ja Foi a Bahia?
