1,Rod Stewart,Tonights The Night (Gonna Be Alright)
2,Andy Gibb,I Just Want To Be Your Everything
3,Emotions,Best Of My Love
4,Barbra Streisand,Love Theme From A Star Is Born
5,Hot,Angel In Your Arms
6,Kenny Nolan,I Like Dreamin
7,Thelma Houston,Dont Leave Me This Way
8,Rita Coolidge,(Your Love Has Lifted Me) Higher And Higher
9,Alan ODay,Undercover Angel
10,Mary MacGregor,Torn Between Two Lovers
11,K.C. and The Sunshine Band,Im Your Boogie Man
12,ABBA,Dancing Queen
13,Leo Sayer,You Make Me Feel Like Dancing
14,Jimmy Buffett,Margaritaville
15,Electric Light Orchestra,Telephone Line
16,Pablo Cruise,Whatcha Gonna Do?
17,Peter McCann,Do You Wanna Make Love
18,Stevie Wonder,Sir Duke
19,Eagles,Hotel California
20,Marvin Gaye,Got To Give It Up, Pt. 1
21,Bill Conti,Theme From Rocky (Gonna Fly Now)
22,Glen Campbell,Southern Nights
23,Daryl Hall and John Oates,Rich Girl
24,Leo Sayer,When I Need You
25,Sylvers,Hot Line
26,Rose Royce,Car Wash
27,Marilyn McCoo and Billy Davis Jr.,You Dont Have To Be A Star
28,Steve Miller Band,Fly Like An Eagle
29,David Soul,Dont Give Up On Us
30,Stephen Bishop,On And On
31,Foreigner,Feels Like The First Time
32,Climax Blues Band,Couldnt Get It Right
33,Commodores,Easy
34,Jennifer Warnes,Right Time Of The Night
35,Natalie Cole,Ive Got Love On My Mind
36,Manfred Manns. Earth Band,Blinded By The Light
37,Barry Manilow,Looks Like We Made It
38,Atlanta Rhythm Section,So In To You
39,Fleetwood Mac,Dreams
40,Jacksons,Enjoy Yourself
41,Brick,Dazz
42,Peter Frampton,Im In You
43,Kenny Rogers,Lucille
44,10cc,The Things We Do For Love
45,Shaun Cassidy,Da Doo Ron Ron
46,James Taylor,Handy Man
47,Crosby, Stills and Nash,Just A Song Before I Go
48,Alice Cooper,You And Me
49,Johnny Rivers,Swayin To The Music (Slow Dancin)
50,Andrew Gold,Lonely Boy
51,Stevie Wonder,I Wish
52,Fleetwood Mac,Dont Stop
53,Heart,Barracuda
54,Brothers Johnson,Strawberry Letter 23
55,Bob Seger and The Silver Bullet Band,Night Moves
56,Helen Reddy,Youre My World
57,Marshall Tucker Band,Heard It In A Love Song
58,Kansas,Carry On Wayward Son
59,Eagles,New Kid In Town
60,Barbra Streisand,My Heart Belongs To Me
61,Engelbert Humperdinck,After The Lovin
62,Steve Miller Band,Jet Airliner
63,Burton Cummings,Stand Tall
64,Elvis Presley,Way Down
65,Barry Manilow,Weekend In New England
66,Ronnie Milsap,It Was Almost Like A Song
67,Sanford Townsend Band,Smoke From A Distant Fire
68,Foreigner,Cold As Ice
69,Dean Friedman,Ariel
70,Bread,Lost Without Your Love
71,Meco,Star Wars Theme-Cantina Band
72,Floaters,Float On
73,David Dundas,Jeans On
74,Boz Scaggs,Lido Shuffle
75,K.C. and The Sunshine Band,Keep It Comin Love
76,Bay City Rollers,You Made Me Believe In Magic
77,Electric Light Orchestra,Livin Thing
78,Supertramp,Give A Little Bit
79,Shaun Cassidy,Thats Rock N Roll
80,Bee Gees,Love So Right
81,Spinners,The Rubberband Man
82,Alice Cooper,I Never Cry
83,Carly Simon,Nobody Does It Better
84,Sylvers,High School Dance
85,Kenny Nolan,Loves Grown Deep
86,Joe Tex,Aint Gonna Bump No More (With No Big Fat Woman)
87,Rose Royce,I Wanna Get Next To You
88,Queen,Somebody To Love
89,Captain and Tennille,Muskrat Love
90,Aerosmith,Walk This Way
91,Dr. Buzzards Original Savannah Band,Whispering-Cherchez La Femme-Cest Si Bon
92,Al Stewart,Year Of The Cat
93,Heatwave,Boogie Nights
94,Fleetwood Mac,Go Your Own Way
95,Elton John,Sorry Seems To Be The Hardest Word
96,B.J. Thomas,Dont Worry Baby
97,ABBA,Knowing Me, Knowing You
98,Leo Sayer,How Much Love
99,London Symphony Orchestra,Star Wars (Main Title)
100,C.J. and Co.,Devils Gun
